id,color1,color2,displacement1,displacement2,mile1,mile2,year1,year2,licensed_city1,licensed_city2,title1,title2,fuel_type1,fuel_type2,register_time1,register_time2,owner_price1,owner_price2,is_import1,is_import2,transfer_times1,transfer_times2,displacement_standard1,displacement_standard2,gearbox1,gearbox2,is_same,displacement_diff,displacement_diff_sparse,mile_diff,mile_diff_rate,mile_diff_rate_sparse,mile_diff_sparse,year_diff,year_diff_sparse,licensed_city_diff_sparse,title_diff,title_diff_sparse,register_time_diff,register_time_diff_sparse,owner_price_diff,is_import_diff_sparse,transfer_times_diff,transfer_times_diff_sparse
11,其他色,其他色,1.8,,21.49,11.6,2007.0,,上海,青岛,福特-福克斯 2007款 两厢 1.8L 手动舒适型,福特 福克斯 2009款 两厢 1.8L 手动舒适型,,,2007-05-01,2009-09-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,9.889999999999999,0.29888183741311575,0.0,0.0,,0.5,0.0,1.0,1.0,-28.0,0.0,,2.0,0.0,2
12,白色,其他色,1.8,,6.61,10.7,2011.0,,洛阳,洛阳,福特-福克斯 2011款 两厢 1.8L 手动经典型,福特 福克斯 2009款 三厢 1.8L 手动舒适型,,,2011-03-01,2009-07-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,MT,0,,0.5,-4.089999999999999,-0.23627960716348928,0.0,0.0,,0.5,2.0,5.0,0.0,20.0,0.0,,2.0,1.0,1
13,黑色,黑色,3.5,,12.47,14.2,2009.0,,成都,绵阳,丰田-汉兰达 2009款 3.5L 四驱7座豪华版,丰田 汉兰达 2009款 2.7L 两驱7座豪华导航版,,,2010-12-01,2011-12-01,,,0.0,0.0,1.0,2.0,-1,-1,-1,AT,0,,0.5,-1.7299999999999986,-0.06486689163854513,1.0,1.0,,0.5,0.0,5.0,0.0,-12.0,0.0,,2.0,-1.0,1
14,紫色,其他色,1.8,,2.26,5.6,2016.0,,南宁,南宁,丰田-雷凌 2016款 双擎 1.8H V CVT豪华版,丰田 雷凌 2016款 双擎 1.8H GS CVT精英天窗版,,,2016-07-01,2016-05-01,,,0.0,0.0,0.0,2.0,-1,-1,-1,AT,0,,0.5,-3.34,-0.42493638676844786,0.0,0.0,,0.5,2.0,6.0,0.0,2.0,1.0,,2.0,-2.0,0
15,金色,其他色,2.0,,7.93,23.4,2012.0,,北京,北京,别克-君威 2012款 2.0L 豪华版,别克 君威 2006款 2.5L 自动豪华,,,2012-07-01,2005-04-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-15.469999999999999,-0.4937759336099585,0.0,0.0,,0.5,2.0,6.0,0.0,87.0,0.0,,2.0,0.0,2
16,白色,白色,1.6,,9.55,12.1,2012.0,,重庆,重庆,福特-福克斯 2012款 三厢 1.6L 自动风尚型,福特 福克斯 2012款 两厢经典 1.8L 手动时尚型,,,2013-07-01,2013-05-01,,,0.0,0.0,0.0,1.0,-1,-1,-1,MT,0,,0.5,-2.549999999999999,-0.1177829099307159,0.0,0.0,,0.5,2.0,6.0,0.0,2.0,1.0,,2.0,-1.0,1
17,白色,白色,1.5,,10.9,8.7,2014.0,,盐城,周口,荣威-350 2014款 1.5L 手动迅捷版,荣威 荣威350 2010款 350C 1.5L 手动迅智版,,,2015-02-01,2010-11-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,2.200000000000001,0.11224489795918371,0.0,0.0,,0.5,0.0,8.0,0.0,51.0,0.0,,2.0,0.0,2
18,其他色,其他色,1.5,,8.2,1.8,2009.0,,济宁,济宁,福特-嘉年华 2009款 两厢 1.5L 手动时尚型,福特 嘉年华 2009款 三厢 1.5L 手动时尚型,,,2010-12-01,2009-07-01,,,0.0,0.0,3.0,0.0,-1,-1,-1,MT,0,,0.5,6.3999999999999995,0.6399999999999999,0.0,0.0,,0.5,2.0,1.0,1.0,17.0,0.0,,2.0,3.0,0
19,其他色,其他色,1.6,,9.76,8.3,2008.0,,苏州,苏州,起亚-赛拉图 2008款 欧风 1.6 MT GL,起亚 赛拉图 2005款 1.6L MT GLS-2,,,2009-06-01,2005-11-01,,,0.0,0.0,0.0,1.0,-1,-1,-1,MT,0,,0.5,1.459999999999999,0.0808416389811738,1.0,1.0,,0.5,2.0,6.0,0.0,43.0,0.0,,2.0,-1.0,1
20,灰色,其他色,1.6,,11.64,4.4,2008.0,,天津,天津,大众-宝来 2008款 1.6L 手动舒适型,大众 宝来 2011款 1.6L 自动时尚型,,,2009-10-01,2010-09-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,AT,0,,0.5,7.24,0.45137157107231923,0.0,0.0,,0.5,2.0,5.0,0.0,-11.0,0.0,,2.0,1.0,1
21,其他色,其他色,1.4,,6.38,9.0,2011.0,,长春,长春,大众-速腾 2011款 1.4TSI 自动豪华型,大众 速腾 2012款 1.4TSI 自动豪华型,,,2011-04-01,2013-06-01,,,0.0,0.0,0.0,2.0,-1,-1,-1,AT,0,,0.5,-2.62,-0.1703511053315995,0.0,0.0,,0.5,2.0,1.0,1.0,-26.0,0.0,,2.0,-2.0,0
22,白色,其他色,1.5,,2.67,8.4,2015.0,,菏泽,青岛,雪佛兰-科鲁兹 2015款 1.5L 经典 SL MT,雪佛兰 科鲁兹 2011款 1.6L SL天地版 AT,,,2016-07-01,2010-12-01,,,0.0,0.0,0.0,1.0,-1,-1,-1,AT,0,,0.5,-5.73,-0.5176151761517616,0.0,0.0,,0.5,0.0,8.0,0.0,67.0,0.0,,2.0,-1.0,1
23,白色,其他色,1.6,,4.29,10.2,2012.0,,南京,苏州,福特-福克斯 2012款 三厢 1.6L 自动舒适型,福特 福克斯 2012款 三厢 1.6L 自动舒适型,,,2015-07-01,2014-01-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-5.909999999999999,-0.4078674948240166,0.0,0.0,,0.5,0.0,0.0,2.0,18.0,0.0,,2.0,0.0,2
24,黑色,黑色,2.0,,5.16,10.5,2013.0,,哈尔滨,哈尔滨,大众-迈腾 2013款 2.0TSI 尊贵型,大众 迈腾 2011款 1.8TSI DSG舒适型,,,2014-07-01,2011-01-01,,,0.0,0.0,2.0,0.0,-1,-1,-1,AT,0,,0.5,-5.34,-0.34099616858237547,0.0,0.0,,0.5,2.0,8.0,0.0,42.0,0.0,,2.0,2.0,0
25,黑色,黑色,2.4,,10.67,26.3,2009.0,,上海,上海,丰田-凯美瑞 2009款 240G 豪华版,丰田 凯美瑞 2010款 240G 豪华版,,,2010-01-01,2010-08-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,AT,0,,0.5,-15.63,-0.4227752231539086,0.0,0.0,,0.5,2.0,2.0,1.0,-7.0,0.0,,2.0,1.0,1
26,黑色,白色,2.5,,1.64,3.9,2016.0,,惠州,惠州,丰田-凯美瑞 2016款 2.5G 十周年纪念豪华导航版,丰田 凯美瑞 2015款 2.0G 领先版,,,2017-09-01,2016-01-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-2.26,-0.407942238267148,0.0,0.0,,0.5,2.0,11.0,0.0,20.0,0.0,,2.0,0.0,2
27,黑色,白色,1.6,,15.23,0.4,2011.0,,哈尔滨,哈尔滨,丰田-卡罗拉 2011款 1.6L 自动GL,丰田 卡罗拉 2017款 1.6L 手动GL,,,2013-07-01,2017-03-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,14.83,0.9488163787587971,0.0,0.0,,0.5,2.0,2.0,1.0,-44.0,0.0,,2.0,0.0,2
28,其他色,其他色,1.8,,17.72,1.9,2007.0,,宁波,南京,福特-福克斯 2007款 两厢 1.8L 自动时尚型,福特 福克斯 2013款 两厢经典 1.8L 手动时尚型,,,2008-06-01,2013-07-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,15.819999999999999,0.8063200815494393,0.0,0.0,,0.5,0.0,5.0,0.0,-61.0,0.0,,2.0,0.0,2
29,白色,其他色,1.6,,11.2,7.1,2008.0,,西安,西安,大众-捷达 2008款 CIF 春天型（改装天然气）,大众 捷达 2010款 1.6L 伙伴,,,2007-11-01,2010-10-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,4.1,0.22404371584699456,0.0,0.0,,0.5,2.0,15.0,0.0,-35.0,0.0,,2.0,0.0,2
30,白色,黑色,2.7,,13.9,14.7,2009.0,,长春,长春,丰田-汉兰达 2009款 2.7L 两驱7座豪华版,丰田 汉兰达 2012款 2.7L 两驱5座精英版,,,2010-03-01,2013-07-01,,,0.0,0.0,2.0,0.0,-1,-1,-1,AT,0,,0.5,-0.7999999999999989,-0.027972027972027934,1.0,1.0,,0.5,2.0,5.0,0.0,-40.0,0.0,,2.0,2.0,0
31,白色,其他色,1.6,,1.47,9.1,2012.0,,南京,南京,福特-福克斯 2012款 两厢 1.6L 自动风尚型,福特 福克斯 2007款 两厢 1.8L 手动舒适型,,,2015-10-01,2007-08-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,-7.63,-0.7218543046357616,0.0,0.0,,0.5,2.0,6.0,0.0,98.0,0.0,,2.0,0.0,2
32,金色,其他色,1.5,,4.16,3.8,2014.0,,盐城,苏州,五菱汽车-五菱荣光 2014款 1.5L S 标准型,五菱汽车 五菱荣光 2014款 1.2L S 基本型,,,2016-01-01,2014-10-01,,,0.0,0.0,0.0,1.0,-1,-1,-1,MT,0,,0.5,0.3600000000000003,0.045226130653266375,1.0,1.0,,0.5,0.0,3.0,1.0,15.0,0.0,,2.0,-1.0,1
33,其他色,其他色,1.5,,5.26,5.9,2011.0,,潍坊,潍坊,东风-景逸 2011款 1.5L 手动豪华型,东风风行 景逸 2011款 LV 1.8VVT 豪华型,,,2011-04-01,2011-12-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,-0.6400000000000006,-0.057347670250896106,1.0,1.0,,0.5,2.0,8.0,0.0,-8.0,0.0,,2.0,0.0,2
34,灰色,其他色,1.5,,4.06,6.4,2015.0,,郑州,郑州,东风-菱智 2015款 V3 1.5L 5座特惠型,东风风行 菱智 2010款 2.0L CMV 4G63,,,2015-05-01,2011-07-01,,,0.0,0.0,1.0,1.0,-1,-1,-1,MT,0,,0.5,-2.3400000000000007,-0.22370936902485664,0.0,0.0,,0.5,2.0,14.0,0.0,46.0,0.0,,2.0,0.0,2
35,其他色,白色,1.6,,9.61,0.1,2010.0,,长春,长春,大众-捷达 2010款 1.6L 前卫,大众 捷达 2010款 1.6L 伙伴,,,2010-07-01,2011-11-01,,,0.0,0.0,1.0,1.0,-1,-1,-1,MT,0,,0.5,9.51,0.9794026776519054,0.0,0.0,,0.5,2.0,2.0,1.0,-16.0,0.0,,2.0,0.0,2
36,白色,其他色,1.6,,3.31,18.7,2014.0,,济宁,东营,雪铁龙-世嘉 2014款 VTS版 1.6L 手动品尚型,雪铁龙 世嘉 2012款 三厢 1.6L 手动品尚型,,,2015-08-01,2012-12-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,-15.389999999999999,-0.6992276238073603,0.0,0.0,,0.5,0.0,5.0,0.0,32.0,0.0,,2.0,0.0,2
37,白色,白色,1.6,,12.31,5.5,2013.0,,重庆,重庆,福特-翼虎 2013款 1.6L GTDi 两驱风尚型,福特 翼虎 2015款 1.5L GTDi 两驱风尚型,,,2013-03-01,2015-04-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,6.8100000000000005,0.38236945536215605,0.0,0.0,,0.5,2.0,2.0,1.0,-25.0,0.0,,2.0,0.0,2
38,白色,白色,1.5,,2.54,0.3,2014.0,,洛阳,洛阳,吉利汽车-帝豪 2014款 三厢 1.5L 手动精英型,吉利汽车 帝豪 2017款 两厢RS百万款 1.5L 手动向上版,,,2015-02-01,2017-04-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,MT,0,,0.5,2.24,0.7887323943661972,0.0,0.0,,0.5,2.0,10.0,0.0,-26.0,0.0,,2.0,1.0,1
39,其他色,其他色,1.4,,7.64,12.3,2010.0,,北京,北京,大众-速腾 2010款 1.4TSI 自动技术型,大众 速腾 2006款 2.0L 自动舒适型,,,2010-06-01,2006-10-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-4.660000000000001,-0.23370110330992983,0.0,0.0,,0.5,2.0,9.0,0.0,44.0,0.0,,2.0,0.0,2
40,灰色,白色,1.8,,3.68,4.9,2011.0,,武汉,武汉,福特-福克斯 2011款 两厢 1.8L 自动时尚型,福特 福克斯 2012款 两厢 1.6L 自动风尚型,,,2011-03-01,2013-12-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-1.2200000000000002,-0.1421911421911422,0.0,1.0,,0.5,2.0,3.0,1.0,-33.0,0.0,,2.0,0.0,2
41,黑色,其他色,1.6,,12.2,9.6,2010.0,,东莞,广州,现代-悦动 2010款 1.6L MT GL,现代 悦动 2011款 1.6L 自动豪华型,,,2010-09-01,2011-10-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,AT,0,,0.5,2.5999999999999996,0.11926605504587155,0.0,0.0,,0.5,0.0,6.0,0.0,-13.0,0.0,,2.0,1.0,1
42,白色,白色,1.6,,8.25,8.4,2009.0,,大同,石家庄,雪佛兰-科鲁兹 2009款 1.6L SE AT,雪佛兰 科鲁兹 2013款 1.6L SL MT,,,2010-07-01,2014-08-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,MT,0,,0.5,-0.15000000000000036,-0.009009009009009031,1.0,1.0,,0.5,0.0,4.0,1.0,-49.0,0.0,,2.0,1.0,1
43,黑色,其他色,1.8,,6.72,5.9,2011.0,,廊坊,北京,雪佛兰-科鲁兹 2011款 1.8L SX AT,雪佛兰 科鲁兹 2013款 1.6L SE MT,,,2011-11-01,2013-02-01,,,0.0,0.0,0.0,1.0,-1,-1,-1,MT,0,,0.5,0.8199999999999994,0.0649762282091917,1.0,1.0,,0.5,0.0,4.0,1.0,-15.0,0.0,,2.0,-1.0,1
44,其他色,其他色,1.4,,6.38,9.5,2011.0,,长春,长春,大众-速腾 2011款 1.4TSI 自动豪华型,大众 速腾 2012款 1.8TSI 自动旗舰版,,,2011-04-01,2012-09-01,,,0.0,0.0,0.0,4.0,-1,-1,-1,AT,0,,0.5,-3.12,-0.19647355163727961,0.0,0.0,,0.5,2.0,5.0,0.0,-17.0,0.0,,2.0,-4.0,0
45,白色,黑色,2.5,,10.17,6.3,2013.0,,滨州,唐山,日产-天籁 2013款 2.5L XL-NAVI Tech智享版,日产 天籁 2013款 2.0L XL舒适版,,,2013-06-01,2014-12-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,3.87,0.23497267759562843,0.0,0.0,,0.5,0.0,11.0,0.0,-18.0,0.0,,2.0,0.0,2
46,其他色,黑色,2.0,,8.7,11.7,2010.0,,深圳,深圳,大众-途观 2010款 2.0TSI 自动四驱旗舰版,大众 途观 2010款 2.0TSI 自动四驱旗舰版,,,2010-04-01,2011-05-01,,,0.0,0.0,0.0,1.0,-1,-1,-1,AT,0,,0.5,-3.0,-0.14705882352941177,0.0,0.0,,0.5,2.0,0.0,2.0,-13.0,0.0,,2.0,-1.0,1
47,其他色,其他色,1.5,,7.61,5.0,2009.0,,哈尔滨,哈尔滨,福特-嘉年华 2009款 三厢 1.5L 自动时尚型,福特 嘉年华 2013款 三厢 1.5L 手动风尚型,,,2010-12-01,2015-03-01,,,0.0,0.0,1.0,2.0,-1,-1,-1,MT,0,,0.5,2.6100000000000003,0.20697858842188743,0.0,0.0,,0.5,2.0,4.0,1.0,-51.0,0.0,,2.0,-1.0,1
48,白色,黑色,2.0,,3.29,15.2,2014.0,,南京,南京,宝马-5系 2014款 520Li 典雅型,宝马 宝马5系 2011款 520Li 典雅型,,,2016-01-01,2011-06-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-11.91,-0.6441319632233641,0.0,0.0,,0.5,2.0,3.0,1.0,55.0,0.0,,2.0,0.0,2
49,棕色,黑色,1.6,,6.75,10.0,2012.0,,石家庄,石家庄,福特-福克斯 2012款 三厢 1.6L 手动风尚型,福特 福克斯 2012款 三厢经典 1.8L 手动基本型,,,2012-10-01,2013-01-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,-3.25,-0.19402985074626866,0.0,0.0,,0.5,2.0,5.0,0.0,-3.0,1.0,,2.0,0.0,2
50,白色,其他色,1.6,,6.38,7.3,2012.0,,北京,北京,马自达-3 2012款 1.6L 自动经典标准型,马自达 马自达3 2007款 1.6L 手动标准型,,,2013-04-01,2007-09-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,-0.9199999999999999,-0.06725146198830409,1.0,1.0,,0.5,2.0,8.0,0.0,67.0,0.0,,2.0,0.0,2
51,其他色,白色,1.8,,12.42,8.4,2010.0,,福州,福州,大众-途观 2010款 1.8TSI 自动两驱风尚版,大众 途观 2012款 1.8TSI 自动两驱都会版,,,2010-09-01,2013-05-01,,,0.0,0.0,1.0,1.0,-1,-1,-1,AT,0,,0.5,4.02,0.19308357348703167,0.0,0.0,,0.5,2.0,3.0,1.0,-32.0,0.0,,2.0,0.0,2
52,白色,其他色,1.6,,2.33,11.6,2015.0,,昆明,昆明,大众-捷达 2015款 质惠版 1.6L 手动舒适型,大众 捷达 2010款 1.6L 伙伴,,,2016-11-01,2010-07-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,-9.27,-0.665470208183776,0.0,0.0,,0.5,2.0,9.0,0.0,76.0,0.0,,2.0,0.0,2
53,其他色,其他色,1.6,,6.45,5.0,2013.0,,昆明,昆明,大众-桑塔纳 2013款 1.6L 手动风尚版,大众 桑塔纳 2013款 1.6L 手动舒适版,,,2013-08-01,2014-02-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,1.4500000000000002,0.12663755458515286,0.0,1.0,,0.5,2.0,2.0,1.0,-6.0,0.0,,2.0,0.0,2
54,白色,其他色,1.6,,4.93,7.0,2014.0,,郑州,上海,雪佛兰-科鲁兹 2014款 1.6L SL百万纪念版 AT,雪佛兰 科鲁兹 2009款 1.6L SE AT,,,2015-06-01,2009-06-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-2.0700000000000003,-0.17351215423302602,0.0,0.0,,0.5,0.0,8.0,0.0,72.0,0.0,,2.0,0.0,2
55,灰色,黑色,2.3,,12.65,13.4,2007.0,,南宁,贺州,马自达-6 2007款 轿跑 2.3L 自动型,马自达 马自达6 2006款 2.0L 自动超豪华型,,,2007-12-01,2005-12-01,,,0.0,0.0,3.0,4.0,-1,-1,-1,AT,0,,0.5,-0.75,-0.02879078694817658,1.0,1.0,,0.5,0.0,10.0,0.0,24.0,0.0,,2.0,-1.0,1
56,黑色,黑色,1.6,,11.23,10.1,2011.0,,郑州,郑州,现代-伊兰特 2011款 1.6L 手动舒适型,现代 伊兰特 2011款 1.6L 手动舒适型,,,2010-11-01,2010-01-01,,,0.0,0.0,0.0,2.0,-1,-1,-1,MT,0,,0.5,1.1300000000000008,0.052977027660572,1.0,1.0,,0.5,2.0,0.0,2.0,10.0,0.0,,2.0,-2.0,0
57,金色,其他色,1.6,,3.13,20.0,2016.0,,德惠,长春,大众-高尔夫 2016款 1.6L 自动舒适型,大众 高尔夫 2008款 1.6 手动五彩版,,,2016-12-01,2008-09-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,MT,0,,0.5,-16.87,-0.7293558149589279,0.0,0.0,,0.5,0.0,7.0,0.0,99.0,0.0,,2.0,1.0,1
58,灰色,其他色,1.6,,5.29,5.1,2016.0,,昆明,昆明,雪铁龙-世嘉 2016款 经典 三厢 1.6L 手动科技版,雪铁龙 世嘉 2008款 两厢 1.6L 手动时尚型,,,2015-06-01,2009-02-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,,0.5,0.1900000000000004,0.01828681424446587,1.0,1.0,,0.5,2.0,8.0,0.0,76.0,0.0,,2.0,0.0,2
59,黑色,黑色,1.6,,11.16,16.8,2010.0,,北京,北京,现代-悦动 2010款 1.6L AT GLS,现代 悦动 2008款 1.6L AT GL,,,2010-12-01,2008-07-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-5.640000000000001,-0.20171673819742492,0.0,0.0,,0.5,2.0,3.0,1.0,29.0,0.0,,2.0,0.0,2
60,其他色,黑色,1.6,,4.26,28.2,2011.0,,鹰潭,上海,别克-凯越 2011款 1.6LE-MT,别克 凯越 2005款 HRV 1.6LE-MT,,,2012-10-01,2006-04-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,MT,0,,0.5,-23.939999999999998,-0.7375231053604435,0.0,0.0,,0.5,0.0,5.0,0.0,78.0,0.0,,2.0,1.0,1
61,黑色,黑色,2.4,,10.09,41.0,2009.0,,温州,上海,本田-雅阁 2009款 2.4L LX,本田 雅阁 2004款 2.4L,,,2010-02-01,2004-05-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-30.91,-0.6050107653161088,0.0,0.0,,0.5,0.0,3.0,1.0,69.0,0.0,,2.0,0.0,2
62,白色,其他色,1.6,,3.66,26.0,2015.0,,铁岭,锦州,大众-捷达 2015款 质惠版 1.6L 手动舒适型,大众 捷达 2008款 CIX-P伙伴型,,,2016-02-01,2009-04-01,,,0.0,0.0,0.0,2.0,-1,-1,-1,MT,0,,0.5,-22.34,-0.7532029669588671,0.0,0.0,,0.5,0.0,13.0,0.0,82.0,0.0,,2.0,-2.0,0
63,灰色,白色,2.5,,9.48,9.6,2006.0,,苏州,苏州,宝马-5系 2006款 523Li 豪华型,宝马 宝马5系 2010款 520Li 领先型,,,2007-02-01,2010-08-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,-0.11999999999999922,-0.0062893081761005885,1.0,1.0,,0.5,2.0,7.0,0.0,-42.0,0.0,,2.0,0.0,2
64,棕色,其他色,1.6,,6.55,3.6,2009.0,,广州,佛山,日产-轩逸 2009款 1.6XE 自动舒适版,日产 轩逸 2012款 经典 1.6XE 自动舒适版,,,2012-06-01,2015-02-01,,,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,,0.5,2.9499999999999997,0.29064039408866993,0.0,0.0,,0.5,0.0,4.0,1.0,-32.0,0.0,,2.0,0.0,2
65,其他色,其他色,1.8,,9.1,4.4,2009.0,,大同,北京,福特-福克斯 2009款 三厢 1.8L 手动舒适型,福特 福克斯 2012款 三厢 1.6L 手动舒适型,,,2010-06-01,2013-07-01,,,0.0,0.0,1.0,0.0,-1,-1,-1,MT,0,,0.5,4.699999999999999,0.3481481481481481,0.0,0.0,,0.5,0.0,3.0,1.0,-37.0,0.0,,2.0,1.0,1
66,黑色,黑色,1.8,,12.19,21.4,2010.0,,济南,济南,雪佛兰-景程 2010款 1.8 致真版 MT,雪佛兰 景程 2006款 2.0 SL MT,,,2010-01-01,2006-07-01,,,0.0,0.0,1.0,1.0,-1,-1,-1,MT,0,,0.5,-9.209999999999999,-0.2741887466507889,0.0,0.0,,0.5,2.0,7.0,0.0,42.0,0.0,,2.0,0.0,2
