id,color1,color2,displacement1,displacement2,mile1,mile2,year1,year2,licensed_city1,licensed_city2,title1,title2,fuel_type1,fuel_type2,register_time1,register_time2,owner_price1,owner_price2,is_import1,is_import2,transfer_times1,transfer_times2,displacement_standard1,displacement_standard2,gearbox1,gearbox2,is_same
13,黑色,黑色,3.5,,12.47,14.2,2009.0,,成都,绵阳,丰田-汉兰达 2009款 3.5L 四驱7座豪华版,丰田 汉兰达 2009款 2.7L 两驱7座豪华导航版,,,2010-12-01,2011-12-01,,,0.0,0.0,1.0,2.0,,,,自动,2
14,紫色,其他色,1.8,,2.26,5.6,2016.0,,南宁,南宁,丰田-雷凌 2016款 双擎 1.8H V CVT豪华版,丰田 雷凌 2016款 双擎 1.8H GS CVT精英天窗版,,,2016-07-01,2016-05-01,,,0.0,0.0,0.0,2.0,,,,自动,2
15,金色,其他色,2.0,,7.93,23.4,2012.0,,北京,北京,别克-君威 2012款 2.0L 豪华版,别克 君威 2006款 2.5L 自动豪华,,,2012-07-01,2005-04-01,,,0.0,0.0,0.0,0.0,,,,自动,2
16,白色,白色,1.6,,9.55,12.1,2012.0,,重庆,重庆,福特-福克斯 2012款 三厢 1.6L 自动风尚型,福特 福克斯 2012款 两厢经典 1.8L 手动时尚型,,,2013-07-01,2013-05-01,,,0.0,0.0,0.0,1.0,,,,手动,2
17,白色,白色,1.5,,10.9,8.7,2014.0,,盐城,周口,荣威-350 2014款 1.5L 手动迅捷版,荣威 荣威350 2010款 350C 1.5L 手动迅智版,,,2015-02-01,2010-11-01,,,0.0,0.0,0.0,0.0,,,,手动,2
18,其他色,其他色,1.5,,8.2,1.8,2009.0,,济宁,济宁,福特-嘉年华 2009款 两厢 1.5L 手动时尚型,福特 嘉年华 2009款 三厢 1.5L 手动时尚型,,,2010-12-01,2009-07-01,,,0.0,0.0,3.0,0.0,,,,手动,2
19,其他色,其他色,1.6,,9.76,8.3,2008.0,,苏州,苏州,起亚-赛拉图 2008款 欧风 1.6 MT GL,起亚 赛拉图 2005款 1.6L MT GLS-2,,,2009-06-01,2005-11-01,,,0.0,0.0,0.0,1.0,,,,手动,2
20,灰色,其他色,1.6,,11.64,4.4,2008.0,,天津,天津,大众-宝来 2008款 1.6L 手动舒适型,大众 宝来 2011款 1.6L 自动时尚型,,,2009-10-01,2010-09-01,,,0.0,0.0,1.0,0.0,,,,自动,2
21,其他色,其他色,1.4,,6.38,9.0,2011.0,,长春,长春,大众-速腾 2011款 1.4TSI 自动豪华型,大众 速腾 2012款 1.4TSI 自动豪华型,,,2011-04-01,2013-06-01,,,0.0,0.0,0.0,2.0,,,,自动,2
22,白色,其他色,1.5,,2.67,8.4,2015.0,,菏泽,青岛,雪佛兰-科鲁兹 2015款 1.5L 经典 SL MT,雪佛兰 科鲁兹 2011款 1.6L SL天地版 AT,,,2016-07-01,2010-12-01,,,0.0,0.0,0.0,1.0,,,,自动,2
23,白色,其他色,1.6,,4.29,10.2,2012.0,,南京,苏州,福特-福克斯 2012款 三厢 1.6L 自动舒适型,福特 福克斯 2012款 三厢 1.6L 自动舒适型,,,2015-07-01,2014-01-01,,,0.0,0.0,0.0,0.0,,,,自动,2
24,黑色,黑色,2.0,,5.16,10.5,2013.0,,哈尔滨,哈尔滨,大众-迈腾 2013款 2.0TSI 尊贵型,大众 迈腾 2011款 1.8TSI DSG舒适型,,,2014-07-01,2011-01-01,,,0.0,0.0,2.0,0.0,,,,自动,2
25,黑色,黑色,2.4,,10.67,26.3,2009.0,,上海,上海,丰田-凯美瑞 2009款 240G 豪华版,丰田 凯美瑞 2010款 240G 豪华版,,,2010-01-01,2010-08-01,,,0.0,0.0,1.0,0.0,,,,自动,2
26,黑色,白色,2.5,,1.64,3.9,2016.0,,惠州,惠州,丰田-凯美瑞 2016款 2.5G 十周年纪念豪华导航版,丰田 凯美瑞 2015款 2.0G 领先版,,,2017-09-01,2016-01-01,,,0.0,0.0,0.0,0.0,,,,自动,2
27,黑色,白色,1.6,,15.23,0.4,2011.0,,哈尔滨,哈尔滨,丰田-卡罗拉 2011款 1.6L 自动GL,丰田 卡罗拉 2017款 1.6L 手动GL,,,2013-07-01,2017-03-01,,,0.0,0.0,0.0,0.0,,,,手动,2
28,其他色,其他色,1.8,,17.72,1.9,2007.0,,宁波,南京,福特-福克斯 2007款 两厢 1.8L 自动时尚型,福特 福克斯 2013款 两厢经典 1.8L 手动时尚型,,,2008-06-01,2013-07-01,,,0.0,0.0,0.0,0.0,,,,手动,2
29,白色,其他色,1.6,,11.2,7.1,2008.0,,西安,西安,大众-捷达 2008款 CIF 春天型（改装天然气）,大众 捷达 2010款 1.6L 伙伴,,,2007-11-01,2010-10-01,,,0.0,0.0,0.0,0.0,,,,手动,2
30,白色,黑色,2.7,,13.9,14.7,2009.0,,长春,长春,丰田-汉兰达 2009款 2.7L 两驱7座豪华版,丰田 汉兰达 2012款 2.7L 两驱5座精英版,,,2010-03-01,2013-07-01,,,0.0,0.0,2.0,0.0,,,,自动,2
31,白色,其他色,1.6,,1.47,9.1,2012.0,,南京,南京,福特-福克斯 2012款 两厢 1.6L 自动风尚型,福特 福克斯 2007款 两厢 1.8L 手动舒适型,,,2015-10-01,2007-08-01,,,0.0,0.0,0.0,0.0,,,,手动,2
32,金色,其他色,1.5,,4.16,3.8,2014.0,,盐城,苏州,五菱汽车-五菱荣光 2014款 1.5L S 标准型,五菱汽车 五菱荣光 2014款 1.2L S 基本型,,,2016-01-01,2014-10-01,,,0.0,0.0,0.0,1.0,,,,手动,2
33,其他色,其他色,1.5,,5.26,5.9,2011.0,,潍坊,潍坊,东风-景逸 2011款 1.5L 手动豪华型,东风风行 景逸 2011款 LV 1.8VVT 豪华型,,,2011-04-01,2011-12-01,,,0.0,0.0,0.0,0.0,,,,手动,2
34,灰色,其他色,1.5,,4.06,6.4,2015.0,,郑州,郑州,东风-菱智 2015款 V3 1.5L 5座特惠型,东风风行 菱智 2010款 2.0L CMV 4G63,,,2015-05-01,2011-07-01,,,0.0,0.0,1.0,1.0,,,,手动,2
35,其他色,白色,1.6,,9.61,0.1,2010.0,,长春,长春,大众-捷达 2010款 1.6L 前卫,大众 捷达 2010款 1.6L 伙伴,,,2010-07-01,2011-11-01,,,0.0,0.0,1.0,1.0,,,,手动,2
36,白色,其他色,1.6,,3.31,18.7,2014.0,,济宁,东营,雪铁龙-世嘉 2014款 VTS版 1.6L 手动品尚型,雪铁龙 世嘉 2012款 三厢 1.6L 手动品尚型,,,2015-08-01,2012-12-01,,,0.0,0.0,0.0,0.0,,,,手动,2
37,白色,白色,1.6,,12.31,5.5,2013.0,,重庆,重庆,福特-翼虎 2013款 1.6L GTDi 两驱风尚型,福特 翼虎 2015款 1.5L GTDi 两驱风尚型,,,2013-03-01,2015-04-01,,,0.0,0.0,0.0,0.0,,,,自动,2
38,白色,白色,1.5,,2.54,0.3,2014.0,,洛阳,洛阳,吉利汽车-帝豪 2014款 三厢 1.5L 手动精英型,吉利汽车 帝豪 2017款 两厢RS百万款 1.5L 手动向上版,,,2015-02-01,2017-04-01,,,0.0,0.0,1.0,0.0,,,,手动,2
39,其他色,其他色,1.4,,7.64,12.3,2010.0,,北京,北京,大众-速腾 2010款 1.4TSI 自动技术型,大众 速腾 2006款 2.0L 自动舒适型,,,2010-06-01,2006-10-01,,,0.0,0.0,0.0,0.0,,,,自动,2
40,灰色,白色,1.8,,3.68,4.9,2011.0,,武汉,武汉,福特-福克斯 2011款 两厢 1.8L 自动时尚型,福特 福克斯 2012款 两厢 1.6L 自动风尚型,,,2011-03-01,2013-12-01,,,0.0,0.0,0.0,0.0,,,,自动,2
41,黑色,其他色,1.6,,12.2,9.6,2010.0,,东莞,广州,现代-悦动 2010款 1.6L MT GL,现代 悦动 2011款 1.6L 自动豪华型,,,2010-09-01,2011-10-01,,,0.0,0.0,1.0,0.0,,,,自动,2
42,白色,白色,1.6,,8.25,8.4,2009.0,,大同,石家庄,雪佛兰-科鲁兹 2009款 1.6L SE AT,雪佛兰 科鲁兹 2013款 1.6L SL MT,,,2010-07-01,2014-08-01,,,0.0,0.0,1.0,0.0,,,,手动,2
43,黑色,其他色,1.8,,6.72,5.9,2011.0,,廊坊,北京,雪佛兰-科鲁兹 2011款 1.8L SX AT,雪佛兰 科鲁兹 2013款 1.6L SE MT,,,2011-11-01,2013-02-01,,,0.0,0.0,0.0,1.0,,,,手动,2
44,其他色,其他色,1.4,,6.38,9.5,2011.0,,长春,长春,大众-速腾 2011款 1.4TSI 自动豪华型,大众 速腾 2012款 1.8TSI 自动旗舰版,,,2011-04-01,2012-09-01,,,0.0,0.0,0.0,4.0,,,,自动,2
45,白色,黑色,2.5,,10.17,6.3,2013.0,,滨州,唐山,日产-天籁 2013款 2.5L XL-NAVI Tech智享版,日产 天籁 2013款 2.0L XL舒适版,,,2013-06-01,2014-12-01,,,0.0,0.0,0.0,0.0,,,,自动,2
46,其他色,黑色,2.0,,8.7,11.7,2010.0,,深圳,深圳,大众-途观 2010款 2.0TSI 自动四驱旗舰版,大众 途观 2010款 2.0TSI 自动四驱旗舰版,,,2010-04-01,2011-05-01,,,0.0,0.0,0.0,1.0,,,,自动,2
47,其他色,其他色,1.5,,7.61,5.0,2009.0,,哈尔滨,哈尔滨,福特-嘉年华 2009款 三厢 1.5L 自动时尚型,福特 嘉年华 2013款 三厢 1.5L 手动风尚型,,,2010-12-01,2015-03-01,,,0.0,0.0,1.0,2.0,,,,手动,2
48,白色,黑色,2.0,,3.29,15.2,2014.0,,南京,南京,宝马-5系 2014款 520Li 典雅型,宝马 宝马5系 2011款 520Li 典雅型,,,2016-01-01,2011-06-01,,,0.0,0.0,0.0,0.0,,,,自动,2
49,棕色,黑色,1.6,,6.75,10.0,2012.0,,石家庄,石家庄,福特-福克斯 2012款 三厢 1.6L 手动风尚型,福特 福克斯 2012款 三厢经典 1.8L 手动基本型,,,2012-10-01,2013-01-01,,,0.0,0.0,0.0,0.0,,,,手动,2
50,白色,其他色,1.6,,6.38,7.3,2012.0,,北京,北京,马自达-3 2012款 1.6L 自动经典标准型,马自达 马自达3 2007款 1.6L 手动标准型,,,2013-04-01,2007-09-01,,,0.0,0.0,0.0,0.0,,,,手动,2
51,其他色,白色,1.8,,12.42,8.4,2010.0,,福州,福州,大众-途观 2010款 1.8TSI 自动两驱风尚版,大众 途观 2012款 1.8TSI 自动两驱都会版,,,2010-09-01,2013-05-01,,,0.0,0.0,1.0,1.0,,,,自动,2
52,白色,其他色,1.6,,2.33,11.6,2015.0,,昆明,昆明,大众-捷达 2015款 质惠版 1.6L 手动舒适型,大众 捷达 2010款 1.6L 伙伴,,,2016-11-01,2010-07-01,,,0.0,0.0,0.0,0.0,,,,手动,2
53,其他色,其他色,1.6,,6.45,5.0,2013.0,,昆明,昆明,大众-桑塔纳 2013款 1.6L 手动风尚版,大众 桑塔纳 2013款 1.6L 手动舒适版,,,2013-08-01,2014-02-01,,,0.0,0.0,0.0,0.0,,,,手动,2
54,白色,其他色,1.6,,4.93,7.0,2014.0,,郑州,上海,雪佛兰-科鲁兹 2014款 1.6L SL百万纪念版 AT,雪佛兰 科鲁兹 2009款 1.6L SE AT,,,2015-06-01,2009-06-01,,,0.0,0.0,0.0,0.0,,,,自动,2
55,灰色,黑色,2.3,,12.65,13.4,2007.0,,南宁,贺州,马自达-6 2007款 轿跑 2.3L 自动型,马自达 马自达6 2006款 2.0L 自动超豪华型,,,2007-12-01,2005-12-01,,,0.0,0.0,3.0,4.0,,,,自动,2
56,黑色,黑色,1.6,,11.23,10.1,2011.0,,郑州,郑州,现代-伊兰特 2011款 1.6L 手动舒适型,现代 伊兰特 2011款 1.6L 手动舒适型,,,2010-11-01,2010-01-01,,,0.0,0.0,0.0,2.0,,,,手动,2
57,金色,其他色,1.6,,3.13,20.0,2016.0,,德惠,长春,大众-高尔夫 2016款 1.6L 自动舒适型,大众 高尔夫 2008款 1.6 手动五彩版,,,2016-12-01,2008-09-01,,,0.0,0.0,1.0,0.0,,,,手动,2
58,灰色,其他色,1.6,,5.29,5.1,2016.0,,昆明,昆明,雪铁龙-世嘉 2016款 经典 三厢 1.6L 手动科技版,雪铁龙 世嘉 2008款 两厢 1.6L 手动时尚型,,,2015-06-01,2009-02-01,,,0.0,0.0,0.0,0.0,,,,手动,2
59,黑色,黑色,1.6,,11.16,16.8,2010.0,,北京,北京,现代-悦动 2010款 1.6L AT GLS,现代 悦动 2008款 1.6L AT GL,,,2010-12-01,2008-07-01,,,0.0,0.0,0.0,0.0,,,,自动,2
60,其他色,黑色,1.6,,4.26,28.2,2011.0,,鹰潭,上海,别克-凯越 2011款 1.6LE-MT,别克 凯越 2005款 HRV 1.6LE-MT,,,2012-10-01,2006-04-01,,,0.0,0.0,1.0,0.0,,,,手动,2
61,黑色,黑色,2.4,,10.09,41.0,2009.0,,温州,上海,本田-雅阁 2009款 2.4L LX,本田 雅阁 2004款 2.4L,,,2010-02-01,2004-05-01,,,0.0,0.0,0.0,0.0,,,,自动,2
62,白色,其他色,1.6,,3.66,26.0,2015.0,,铁岭,锦州,大众-捷达 2015款 质惠版 1.6L 手动舒适型,大众 捷达 2008款 CIX-P伙伴型,,,2016-02-01,2009-04-01,,,0.0,0.0,0.0,2.0,,,,手动,2
63,灰色,白色,2.5,,9.48,9.6,2006.0,,苏州,苏州,宝马-5系 2006款 523Li 豪华型,宝马 宝马5系 2010款 520Li 领先型,,,2007-02-01,2010-08-01,,,0.0,0.0,0.0,0.0,,,,自动,2
64,棕色,其他色,1.6,,6.55,3.6,2009.0,,广州,佛山,日产-轩逸 2009款 1.6XE 自动舒适版,日产 轩逸 2012款 经典 1.6XE 自动舒适版,,,2012-06-01,2015-02-01,,,0.0,0.0,0.0,0.0,,,,自动,2
65,其他色,其他色,1.8,,9.1,4.4,2009.0,,大同,北京,福特-福克斯 2009款 三厢 1.8L 手动舒适型,福特 福克斯 2012款 三厢 1.6L 手动舒适型,,,2010-06-01,2013-07-01,,,0.0,0.0,1.0,0.0,,,,手动,2
66,黑色,黑色,1.8,,12.19,21.4,2010.0,,济南,济南,雪佛兰-景程 2010款 1.8 致真版 MT,雪佛兰 景程 2006款 2.0 SL MT,,,2010-01-01,2006-07-01,,,0.0,0.0,1.0,1.0,,,,手动,2
67,黑色,其他色,1.6,,10.25,9.0,2009.0,,大连,上饶,雪佛兰-科鲁兹 2009款 1.6L SE MT,雪佛兰 科鲁兹 2011款 1.8L SE AT,,,2012-07-01,2012-04-01,,,0.0,0.0,1.0,1.0,,,,自动,2
68,其他色,其他色,1.6,,2.69,2.3,2012.0,,长春,长春,大众-捷达 2012款 1.6L 纪念版,大众 捷达 2015款 质惠版 1.6L 手动时尚型,,,2012-11-01,2016-12-01,,,0.0,0.0,0.0,0.0,,,,手动,2
69,白色,其他色,1.6,,9.55,4.9,2012.0,,重庆,未知,福特-福克斯 2012款 三厢 1.6L 自动风尚型,福特 福克斯 2012款 三厢经典 1.8L 手动时尚型,,,2013-07-01,2012-04-01,,,0.0,0.0,0.0,1.0,,,,手动,2
70,其他色,白色,1.4,,9.14,6.8,2010.0,,南京,南京,现代-瑞纳 2010款 三厢 1.4L 手动舒适型GS,现代 瑞纳 2014款 1.4L 自动智能型GLS,,,2013-02-01,2014-06-01,,,0.0,0.0,0.0,0.0,,,,自动,2
71,白色,白色,1.4,,6.08,1.1,2011.0,,西安,咸阳,铃木-北斗星 2011款 e 1.4L 手动标准1型,铃木 北斗星 2008款 1.4L 手动STD,,,2011-12-01,2010-03-01,,,0.0,0.0,0.0,0.0,,,,手动,2
72,金色,黑色,1.4,,2.91,13.6,2015.0,,哈尔滨,哈尔滨,大众-高尔夫 2015款 1.4TSI 自动舒适型,大众 高尔夫 2011款 1.4TSI 自动舒适型,,,2015-09-01,2011-05-01,,,0.0,0.0,0.0,2.0,,,,自动,2
73,白色,其他色,1.5,,3.48,12.5,2015.0,,苏州,苏州,福特-福克斯 2015款 两厢 EcoBoost 180 自动精英型,福特 福克斯 2013款 两厢经典 1.8L 手动基本型,,,2015-09-01,2013-12-01,,,0.0,0.0,0.0,0.0,,,,手动,2
74,黑色,黑色,1.6,,5.18,6.7,2011.0,,青岛,青岛,大众-朗逸 2011款 1.6L 手动品悠版,大众 朗逸 2013款 1.6L 自动舒适版,,,2012-09-01,2012-09-01,,,0.0,0.0,1.0,1.0,,,,自动,2
75,白色,其他色,1.3,,2.82,15.0,2015.0,,昆明,昆明,雪佛兰-赛欧 2015款 赛欧3 1.3L 手动理想版,雪佛兰 赛欧 2005款 SRV 1.6 SL MT,,,2015-12-01,2005-06-01,,,0.0,0.0,1.0,0.0,,,,手动,2
76,其他色,其他色,1.4,,7.8,7.8,2010.0,,南通,南通,现代-瑞纳 2010款 三厢 1.4L 自动时尚型GT,现代 瑞纳 2010款 三厢 1.4L 自动时尚型GT,,,2011-03-01,2011-03-01,,,0.0,0.0,0.0,0.0,,,,自动,1
77,白色,其他色,1.5,,3.6,5.5,2014.0,,梧州,南宁,本田-飞度 2014款 1.5L SE CVT时尚型,本田 飞度 2008款 1.5L 自动豪华版,,,2015-03-01,2009-04-01,,,0.0,0.0,0.0,0.0,,,,自动,2
78,其他色,其他色,1.8,,8.09,11.5,2012.0,,重庆,重庆,福特-福克斯 2012款 三厢经典 1.8L 自动基本型,福特 福克斯 2011款 两厢 1.8L 自动时尚型,,,2012-09-01,2010-12-01,,,0.0,0.0,0.0,0.0,,,,自动,2
79,其他色,白色,1.8,,5.03,2.1,2013.0,,宜春,苏州,福特-福克斯 2013款 两厢经典 1.8L 自动基本型,福特 福克斯 2013款 两厢经典 1.8L 自动基本型,,,2013-10-01,2013-03-01,,,0.0,0.0,0.0,0.0,,,,自动,2
80,白色,黑色,1.6,,6.45,4.8,2012.0,,无锡,无锡,别克-英朗 2012款 XT 1.6T 新锐运动版,别克 英朗 2016款 15N 自动精英型,,,2012-10-01,2016-11-01,,,0.0,0.0,0.0,0.0,,,,自动,2
81,其他色,其他色,1.5,,3.63,4.1,2014.0,,深圳,深圳,宝骏-730 2014款 1.5L 手动豪华导航ESP版 7座,宝骏 宝骏730 2016款 1.5L 手动豪华型 7座,,,2014-11-01,2016-08-01,,,0.0,0.0,0.0,0.0,,,,手动,2
82,白色,其他色,1.6,,8.25,12.2,2009.0,,大同,北京,雪佛兰-科鲁兹 2009款 1.6L SE AT,雪佛兰 科鲁兹 2009款 1.6L SE MT,,,2010-07-01,2010-06-01,,,0.0,0.0,1.0,0.0,,,,手动,2
83,其他色,其他色,1.0,,6.5,4.9,2008.0,,哈尔滨,哈尔滨,一汽-夏利 2008款 N3+ 1.0L 三厢,一汽 夏利 2005款 N3 1.1L 三厢,,,2011-03-01,2006-01-01,,,0.0,0.0,1.0,0.0,,,,手动,2
84,灰色,白色,1.4,,10.05,1.1,2008.0,,西安,咸阳,铃木-北斗星 2008款 1.4L 手动STD,铃木 北斗星 2008款 1.4L 手动STD,,,2009-12-01,2010-03-01,,,0.0,0.0,0.0,0.0,,,,手动,2
85,灰色,其他色,1.6,,3.43,12.1,2015.0,,济南,济南,日产-骊威 2015款 1.6XE 手动舒适版,日产 骊威 2010款 劲悦版 1.6L 手动全能型,,,2015-08-01,2012-01-01,,,0.0,0.0,0.0,0.0,,,,手动,2
86,其他色,其他色,1.6,,4.82,5.6,2011.0,,包头,锡林郭勒盟,别克-凯越 2011款 1.6LE-AT,别克 凯越 2005款 HRV 1.6LE-MT,,,2010-12-01,2006-07-01,,,0.0,0.0,0.0,1.0,,,,手动,2
87,白色,其他色,1.6,,6.8,7.9,2012.0,,石家庄,石家庄,福特-福克斯 2012款 三厢 1.6L 自动舒适型,福特 福克斯 2013款 三厢经典 1.8L 手动基本型,,,2014-09-01,2013-12-01,,,0.0,0.0,0.0,1.0,,,,手动,2
88,白色,白色,1.5,,0.98,14.4,2017.0,,淄博,淄博,别克-英朗 2017款 15N 自动精英型,别克 英朗 2010款 XT 1.8L 自动豪华版,,,2017-04-01,2010-05-01,,,0.0,0.0,0.0,1.0,,,,自动,2
89,棕色,黑色,1.6,,3.99,15.6,2015.0,,上海,金华,别克-君威 2015款 1.6T 时尚技术型,别克 君威 2004款 2.5L 豪华型,,,2014-12-01,2004-05-01,,,0.0,0.0,0.0,4.0,,,,自动,2
90,白色,白色,1.6,,1.8,4.2,2016.0,,佛山南海,珠海,日产-轩逸 2016款 1.6XV CVT智享版,日产 轩逸 2012款 经典 1.6XE 自动舒适版,,,2016-12-01,2015-09-01,,,0.0,0.0,0.0,0.0,,,,自动,2
91,其他色,黑色,1.6,,12.45,12.2,2010.0,,济宁,济宁,现代-悦动 2010款 1.6L AT GL,现代 悦动 2011款 1.6L 自动豪华型,,,2009-12-01,2011-04-01,,,0.0,0.0,2.0,1.0,,,,自动,2
92,其他色,其他色,2.0,,17.2,3.6,2007.0,,阳江,佛山,日产-轩逸 2007款 2.0 XL 科技版,日产 轩逸 2012款 经典 1.6XE 自动舒适版,,,2007-09-01,2015-02-01,,,0.0,0.0,0.0,0.0,,,,自动,2
93,金色,其他色,1.2,,5.18,,2011.0,,烟台,烟台,五菱汽车-五菱荣光 2011款 1.2L基本型,五菱汽车 五菱荣光 2011款 1.2L舒适型,,,2013-12-01,2010-04-01,,,0.0,0.0,0.0,1.0,,,,手动,2
94,灰色,其他色,1.8,,8.82,15.3,2009.0,,郑州,郑州,本田-思域 2009款 1.8L 自动豪华版,本田 思域 2012款 1.8L 自动舒适版,,,2009-12-01,2013-05-01,,,0.0,0.0,0.0,1.0,,,,自动,2
95,金色,白色,2.0,,6.01,5.5,2011.0,,武汉,武汉,别克-君威 2011款 2.0L 舒适版,别克 君威 2013款 1.6T 自动精英运动版,,,2011-11-01,2013-05-01,,,0.0,0.0,0.0,0.0,,,,自动,2
96,其他色,其他色,1.5,,2.48,12.5,2014.0,,厦门,南平,五菱汽车-五菱宏光 2014款 1.5L S舒适型,五菱汽车 五菱宏光 2010款 1.2L 标准型,,,2015-07-01,2013-06-01,,,0.0,0.0,0.0,4.0,,,,手动,2
97,其他色,黑色,1.6,,5.15,5.5,2012.0,,天津,天津,别克-英朗 2012款 XT 1.6L 自动时尚版,别克 英朗 2010款 GT 1.6L 手动进取版,,,2013-04-01,2010-12-01,,,0.0,0.0,0.0,0.0,,,,手动,2
98,其他色,其他色,1.6,,4.26,19.5,2011.0,,鹰潭,上海,别克-凯越 2011款 1.6LE-MT,别克 凯越 2004款 1.6 手动豪华版,,,2012-10-01,2004-01-01,,,0.0,0.0,1.0,1.0,,,,手动,2
99,黑色,黑色,1.8,,3.17,9.3,2015.0,,西安,西安,大众-迈腾 2015款 改款 1.8TSI 豪华型,大众 迈腾 2007款 1.8TSI 自动舒适型,,,2015-06-01,2007-10-01,,,0.0,0.0,0.0,1.0,,,,自动,2
100,棕色,其他色,1.5,,6.69,13.9,2014.0,,北京,石家庄,五菱汽车-五菱宏光 2014款 1.5L S豪华型,五菱汽车 五菱宏光 2010款 1.2L 舒适型,,,2014-12-01,2012-08-01,,,0.0,0.0,0.0,1.0,,,,手动,2
101,其他色,其他色,1.8,,7.65,22.1,2012.0,,荆州,上海,福特-福克斯 2012款 两厢经典 1.8L 手动基本型,福特 福克斯 2009款 三厢 1.8L 手动舒适型,,,2012-12-01,2008-12-01,,,0.0,0.0,0.0,0.0,,,,手动,2
102,其他色,白色,2.4,,4.78,9.9,2009.0,,杭州,荆州,别克-君威 2009款 2.4L 精英版,别克 君威 2014款 1.6T 时尚技术型,,,2009-05-01,2013-12-01,,,0.0,0.0,0.0,1.0,,,,自动,2
103,黑色,其他色,1.6,,8.58,10.0,2014.0,,深圳,广州,日产-轩逸 2014款 1.6XV CVT尊享版,日产 轩逸 2009款 2.0XL CVT豪华天窗版,,,2014-11-01,2009-06-01,,,0.0,0.0,0.0,1.0,,,,自动,2
104,灰色,其他色,1.6,,7.44,3.0,2011.0,,长春,长春,大众-速腾 2011款 1.6L 自动舒适型,大众 速腾 2014款 改款 1.4TSI 自动豪华型,,,2011-06-01,2014-11-01,,,0.0,0.0,0.0,0.0,,,,自动,2
105,黑色,其他色,1.8,,11.11,11.2,2011.0,,嘉兴,嘉兴,丰田-卡罗拉 2011款 1.8L 手动GL-i,丰田 卡罗拉 2011款 1.6L 自动GL,,,2012-01-01,2012-01-01,,,0.0,0.0,1.0,0.0,,,,自动,2
