c_price,max_price,min_price,dealer_price,car_model,fuel_type,register_city,model_generation,is_electric_skylight,is_panoramic_sunroof,far_beam,dipped_headlight,new_car_price,transfer_times,price,target,model_id,register_date,deal_date,gear_num,province,used_ages,bumper_change,bumper_chromatic,bumper_flaw,bumper_metal,bumper_spray,car_box_type,car_height,car_length,car_level,car_width,chromatic_num,color,deal_city,deal_time_quarter,displacement,door_change,door_chromatic,door_flaw,door_metal,door_spray,drive_mode,driving_seat_abnormal,driving_seat_abrasion,driving_seat_blister,driving_seat_damage,driving_seat_disassembly,driving_seat_flaw,driving_seat_smudginess,edition,emission,engine_intake_form,fender_change,fender_chromatic,fender_flaw,fender_metal,fender_spray,front_light_change,front_light_damage,front_light_flaw,gdp_level,gearbox_type,manufacturer,max_horse_power,metal_num,mileage,model_age,model_brand,model_series,model_year,pillar_change,pillar_chromatic,pillar_flaw,pillar_metal,pillar_spray,power_displacement_cartesian,region,seat_flaw,spray_num,steering_wheel_flaw,tire_flaw,transmission,transmission_case,trunk_change,trunk_chromatic,trunk_flaw,trunk_injury,trunk_metal,trunk_spray,change_num,used_months,engine_vehicle_launch_flawnum,engine_valve_chamber_cover_flawnum,engine_cistern_flawnum,engine_accumulator_flawnum,engine_steering_mast_flawnum,engine_room_line_sediment_flawnum,engine_brake_level_flawnum,engine_oil_flawnum,engine_cylinder_removalnum,engine_defectnum,engine_flawnum,engine_harness_changenum,engine_harness_sootingnum,engine_harness_carbonizationnum,engine_harness_flawnum,engine_firewall_bulkhead_changenum,engine_firewall_bulkhead_sootingnum,engine_firewall_bulkhead_carbonizationnum,engine_firewall_bulkhead_blisters_tracesnum,engine_firewall_bulkheadd_flawnum,engine_gearbox_flawnum,engine_removable_tank_framework_flawnum,engine_non_removable_tank_framework_changenum,engine_non_removable_framework_defectnum,engine_non_removable_framework_flawnum,bottom_bigside_flawnum,bottom_bigside_changenum,bottom_bigside_metalnum,bottom_bigside_spraynum,bottom_bigside_chromaticnum,bottom_bigside_weldnum,bottom_bigside_injurynum,bottom_bigside_injury_sagnum,bottom_bigside_injury_scratchnum,bottom_bigside_injury_brokennum,bottom_bigside_injury_scarsnum,bottom_bigside_injury_cracknum,bottom_bigside_repairnum,id
28.9,32.4,31.0,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,扬州,1,1,0,氙气,氙气,49.96,0,36.28,36.0,9800,2016-01-01,2017-12-08,8,江苏,2,1,0,1,0,0,三厢,1.49,5.06,中大型车,1.86,0,金,扬州,5,2.0,0,0,2,0,2,后驱,0,0,0,0,0,0,0,豪华,5,涡轮增压,0,0,2,1,1,0,0,0,3,手自一体变速箱(AT),华晨宝马,7,1,6.0,3,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华东,0,3,0,0,自动,8,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270
29.2,31.0,29.5,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,南京,1,1,0,氙气,氙气,49.96,0,34.5,34.2,9800,2014-08-01,2017-12-10,8,江苏,4,0,0,2,0,2,三厢,1.49,5.06,中大型车,1.86,0,白,南京,5,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,豪华,4,涡轮增压,0,0,1,0,1,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,0,7.11,3,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华东,0,3,0,0,自动,8,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299
18.04,20.8,19.7,-1.0,宝马5系 2011款 528li 领先型,汽油,北京,1,1,0,-1,氙气,55.06,0,21.5,21.4,9831,2011-01-01,2017-12-18,8,北京,7,0,0,2,0,2,三厢,1.47,5.04,中大型车,1.86,0,黑,北京,5,3.0,0,0,4,1,3,后驱,0,0,0,0,0,0,0,领先,4,自然吸气,0,0,1,0,1,0,0,0,0,手自一体变速箱(AT),华晨宝马,9,1,19.52,6,宝马,宝马5系,2011,0,0,0,0,0,9_3.0,华北,0,7,0,0,自动,8,0,0,1,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432
21.8,24.4,23.2,-1.0,宝马5系 2013款 520li 典雅型,汽油,广州,1,1,0,-1,氙气,42.86,0,24.3,23.88,9809,2013-04-01,2017-12-26,8,广东,5,0,0,0,0,0,三厢,1.49,5.04,中大型车,1.86,0,灰,广州,5,2.0,0,0,4,2,2,后驱,0,0,0,0,0,0,0,典雅,4,涡轮增压,0,0,0,0,0,0,0,0,0,手自一体变速箱(AT),华晨宝马,6,2,8.44,4,宝马,宝马5系,2013,0,0,0,0,0,6_2.0,华南,0,2,0,4,自动,8,0,0,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498
24.81,28.1,26.7,-1.0,宝马5系 2014款 520li 典雅型,汽油,广州,1,1,0,氙气,氙气,43.56,0,27.99,27.8888,9798,2014-01-01,2017-12-31,8,广东,4,0,0,2,0,2,三厢,1.49,5.06,中大型车,1.86,0,白,广州,5,2.0,0,0,1,0,1,后驱,0,0,0,0,0,0,0,典雅,5,涡轮增压,0,0,1,0,1,0,0,0,0,手自一体变速箱(AT),华晨宝马,6,0,5.0,3,宝马,宝马5系,2014,0,0,0,0,0,6_2.0,华南,0,4,0,0,自动,8,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590
28.07,31.0,29.4,-1.0,宝马5系 2014款 525li 风尚设计套装,汽油,长沙,1,1,0,氙气,氙气,49.96,1,32.0,29.8,9801,2014-03-01,2018-01-05,8,湖南,4,0,0,1,0,1,三厢,1.49,5.05,中大型车,1.86,0,白,长沙,1,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,风尚,4,涡轮增压,0,0,0,0,0,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,0,1.1,4,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华中,0,1,0,0,自动,8,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642
20.34,22.5,21.2,-1.0,宝马5系 2012款 523li 豪华型,汽油,北京,1,1,0,-1,氙气,49.46,1,24.0,24.0,12604,2012-07-01,2018-01-08,8,北京,6,0,0,2,0,2,三厢,1.47,5.04,中大型车,1.86,0,黑,北京,1,2.5,0,0,3,0,3,后驱,0,0,0,0,0,0,0,豪华,4,自然吸气,0,0,1,0,1,0,0,0,0,手自一体变速箱(AT),华晨宝马,7,0,14.07,6,宝马,宝马5系,2012,0,0,0,0,0,7_2.5,华北,0,6,0,0,自动,8,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659
21.07,21.9,20.6,-1.0,宝马5系 2011款 528li 领先型,汽油,武汉,1,1,0,-1,氙气,55.06,0,24.98,22.5,9831,2011-06-01,2018-01-14,8,湖北,7,0,0,0,0,0,三厢,1.47,5.04,中大型车,1.86,0,黑,武汉,1,3.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,领先,4,自然吸气,0,0,2,1,1,0,0,0,1,手自一体变速箱(AT),华晨宝马,9,1,11.29,7,宝马,宝马5系,2011,0,0,0,0,0,9_3.0,华中,0,1,0,0,自动,8,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734
9.0,12.4,11.6,-1.0,宝马5系 2010款 520li 领先型,汽油,青岛,2,1,0,-1,-1,41.26,2,11.8,11.3,9819,2010-03-01,2018-01-21,6,山东,8,0,0,3,1,2,三厢,1.48,4.98,中大型车,1.85,0,灰,青岛,1,2.0,0,0,7,3,4,后驱,0,0,0,0,0,0,0,领先,4,自然吸气,0,0,8,4,4,0,0,0,1,手自一体变速箱(AT),华晨宝马,4,8,10.44,8,宝马,宝马5系,2010,1,0,2,0,1,4_2.0,华东,0,7,0,0,自动,6,0,0,0,0,0,0,1,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1843
30.27,34.4,32.8,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,武汉,1,1,0,氙气,氙气,49.96,0,37.0,37.0,9800,2016-05-01,2018-03-02,8,湖北,2,0,0,0,0,0,三厢,1.49,5.06,中大型车,1.86,0,黑,武汉,2,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,豪华,4,涡轮增压,0,0,0,0,0,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,0,0.43,4,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华中,0,0,0,0,自动,8,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067
28.94,33.6,32.0,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,北京,1,1,0,氙气,氙气,49.96,0,39.0,34.5,9800,2016-01-01,2018-03-07,8,北京,3,0,0,0,0,0,三厢,1.49,5.06,中大型车,1.86,0,白,北京,2,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,豪华,5,涡轮增压,0,0,0,0,0,0,0,0,0,手自一体变速箱(AT),华晨宝马,7,0,6.77,4,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华北,0,0,0,0,自动,8,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2198
26.88,31.6,30.1,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,郑州,1,1,0,氙气,氙气,49.96,0,32.5,31.5,9800,2014-06-01,2018-03-05,8,河南,4,0,0,0,0,0,三厢,1.49,5.06,中大型车,1.86,0,白,郑州,2,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,豪华,5,涡轮增压,0,0,1,0,1,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,0,5.31,4,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华中,0,1,0,0,自动,8,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215
22.59,28.0,26.5,-1.0,宝马5系 2013款 525li 豪华型,汽油,深圳,1,1,0,-1,氙气,49.46,0,28.0,27.0,9811,2013-06-01,2018-03-05,8,广东,5,1,0,3,0,2,三厢,1.49,5.04,中大型车,1.86,0,白,深圳,2,2.0,0,0,2,0,2,后驱,0,0,0,0,0,0,0,豪华,4,涡轮增压,0,0,2,0,2,0,0,0,0,手自一体变速箱(AT),华晨宝马,7,0,11.5,5,宝马,宝马5系,2013,0,0,0,0,0,7_2.0,华南,0,7,0,0,自动,8,1,0,2,0,0,1,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2218
29.22,33.5,32.0,-1.0,宝马5系 2014款 525li 领先型,汽油,北京,1,1,0,氙气,氙气,46.66,0,35.0,33.5,9799,2015-06-01,2018-03-08,8,北京,3,0,0,0,0,0,三厢,1.49,5.06,中大型车,1.86,0,白,北京,2,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,领先,5,涡轮增压,0,0,0,0,0,0,0,0,0,手自一体变速箱(AT),华晨宝马,7,0,2.24,4,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华北,0,0,0,0,自动,8,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236
25.23,31.9,30.4,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,成都,1,1,0,氙气,氙气,49.96,2,26.0,,9800,2014-11-01,,8,四川,4,0,0,1,0,1,三厢,1.49,5.06,中大型车,1.86,0,棕,成都,4,2.0,0,0,4,1,3,后驱,0,1,0,0,0,1,0,豪华,5,涡轮增压,0,0,4,1,3,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,2,7.02,4,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,西南,1,7,0,0,自动,8,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251
25.59,29.7,28.4,-1.0,宝马5系 2014款 520li 典雅型,汽油,郑州,1,1,0,氙气,氙气,43.56,1,31.0,30.3,9798,2015-01-01,2018-03-11,8,河南,4,0,0,1,0,1,三厢,1.49,5.06,中大型车,1.86,0,黑,郑州,2,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,典雅,4,涡轮增压,0,0,1,0,1,1,0,1,1,手自一体变速箱(AT),华晨宝马,6,0,7.2,4,宝马,宝马5系,2014,0,0,0,0,0,6_2.0,华中,0,2,0,4,自动,8,0,0,0,0,0,0,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341
16.38,20.5,19.2,-1.0,宝马5系 2011款 520li 典雅型,汽油,郑州,1,1,0,-1,-1,41.86,2,20.5,20.0,9828,2011-10-01,2018-03-21,8,河南,7,2,0,4,0,2,三厢,1.47,5.04,中大型车,1.86,0,金,郑州,2,2.5,0,0,5,1,4,后驱,0,0,0,0,0,0,0,典雅,4,自然吸气,0,0,5,1,4,0,0,0,1,手自一体变速箱(AT),华晨宝马,5,3,13.04,7,宝马,宝马5系,2011,0,0,1,0,1,5_2.5,华中,0,7,0,0,自动,8,0,0,2,0,1,1,2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506
21.39,23.6,22.2,-1.0,宝马5系 2011款 523li 领先型,汽油,贵阳,1,1,0,-1,氙气,44.96,0,21.5,21.3,9829,2012-10-01,2018-03-22,8,贵州,6,0,0,1,0,1,三厢,1.47,5.04,中大型车,1.86,0,灰,贵阳,2,2.5,0,0,0,0,0,后驱,0,0,0,0,0,0,0,领先,4,自然吸气,0,0,1,0,1,1,0,1,2,手自一体变速箱(AT),华晨宝马,7,0,9.8,7,宝马,宝马5系,2011,0,0,0,0,0,7_2.5,西南,0,2,0,0,自动,8,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2526
33.19,33.6,32.1,-1.0,宝马5系 2017款 525li 领先型,汽油,成都,1,1,0,氙气,氙气,46.66,0,36.5,34.8,23512,2016-09-01,2018-03-23,8,四川,2,0,0,2,0,2,三厢,1.49,5.06,中大型车,1.86,0,白,成都,2,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,领先,5,涡轮增压,0,0,0,0,0,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,0,3.16,1,宝马,宝马5系,2017,0,0,0,0,0,7_2.0,西南,0,2,0,0,自动,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572
8.98,11.5,10.5,-1.0,宝马5系 2008款 523li 标准型,汽油,广州,2,1,0,-1,-1,43.36,1,11.0,10.5,9847,2008-12-01,2018-05-31,6,广东,10,0,0,2,0,2,三厢,1.48,4.98,中大型车,1.85,0,灰,广州,3,2.5,0,0,5,1,4,后驱,0,0,0,0,0,0,0,标准,3,自然吸气,0,0,7,3,4,0,0,0,0,手自一体变速箱(AT),华晨宝马,5,4,19.76,10,宝马,宝马5系,2008,0,0,0,0,0,5_2.5,华南,0,7,0,0,自动,6,0,0,1,0,0,1,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2668
30.75,35.0,33.4,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,哈尔滨,1,1,0,氙气,氙气,49.96,0,34.0,32.0,9800,2015-04-01,2018-04-02,8,广东,4,0,0,2,0,2,三厢,1.49,5.06,中大型车,1.86,0,白,深圳,3,2.0,0,0,2,1,1,后驱,0,0,0,0,0,0,0,豪华,4,涡轮增压,0,0,2,1,1,0,0,0,0,手自一体变速箱(AT),华晨宝马,7,2,5.22,4,宝马,宝马5系,2014,0,0,1,0,1,7_2.0,华南,0,5,0,0,自动,8,0,0,1,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2697
4.71,6.8,6.1,-1.0,宝马5系 2005款 520i,汽油,惠州,3,1,0,-1,氙气,48.8,0,6.9,6.8,13013,2006-01-01,2018-04-14,6,广东,13,0,0,2,0,2,三厢,1.47,4.84,中大型车,1.85,0,白,惠州,3,2.2,0,0,1,0,1,后驱,0,0,0,0,0,0,0,520I,2,自然吸气,0,0,2,0,2,0,0,0,2,手自一体变速箱(AT),华晨宝马,5,0,17.96,13,宝马,宝马5系,2005,0,0,0,0,0,5_2.2,华南,0,5,0,4,自动,6,0,0,0,0,0,0,4,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776
